Unnamed: 0,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season
72,Jason Kidd,PHX,24.0,193.04,94.347136,California,USA,1994,1,2,55,10.9,4.5,9.0,2.4,0.039,0.106,0.17,0.498,0.37,1996-97
176,Damon Stoudamire,TOR,23.0,177.8,77.56423199999999,Arizona,USA,1995,1,7,81,20.2,4.1,8.8,-3.7,0.0289999999999999,0.09,0.253,0.516,0.38,1996-97
269,Robert Pack,DAL,28.0,187.96,86.18248,Southern California,USA,Undrafted,Undrafted,Undrafted,54,14.3,2.7,8.4,-8.3,0.016,0.078,0.244,0.482,0.435,1996-97
272,Rod Strickland,WAS,30.0,190.5,83.91452,DePaul,USA,1988,1,19,82,17.2,4.1,8.9,1.7,0.038,0.093,0.237,0.5329999999999999,0.366,1996-97
321,Tim Hardaway,MIA,30.0,182.88,88.45044,Texas-El Paso,USA,1989,1,14,81,20.3,3.4,8.6,8.9,0.018,0.083,0.264,0.532,0.4039999999999999,1996-97
338,Kevin Johnson,PHX,31.0,185.42,86.18248,California,USA,1987,1,7,70,20.1,3.6,9.3,2.9,0.024,0.085,0.226,0.631,0.3879999999999999,1996-97
375,John Stockton,UTA,35.0,185.42,79.3786,Gonzaga,USA,1984,1,16,82,14.4,2.8,10.5,11.4,0.021,0.075,0.186,0.6559999999999999,0.45,1996-97
404,Nick Van Exel,LAL,25.0,185.42,83.007336,Cincinnati,USA,1993,2,37,79,15.3,2.9,8.5,3.8,0.017,0.071,0.209,0.518,0.358,1996-97
430,Mark Jackson,IND,32.0,190.5,83.91452,St. John's (NY),USA,1987,1,18,82,9.9,4.8,11.4,-2.0,0.035,0.1159999999999999,0.155,0.525,0.4639999999999999,1996-97
454,Mark Jackson,IND,33.0,190.5,83.91452,St. John's (NY),USA,1987,1,18,82,8.3,3.9,8.7,10.2,0.035,0.1159999999999999,0.166,0.501,0.4429999999999999,1997-98
507,John Stockton,UTA,36.0,185.42,79.3786,Gonzaga,USA,1984,1,16,64,12.0,2.6,8.5,13.4,0.026,0.084,0.1939999999999999,0.628,0.447,1997-98
618,Rod Strickland,WAS,31.0,190.5,83.91452,DePaul,USA,1988,1,19,76,17.8,5.3,10.5,1.3,0.04,0.115,0.235,0.501,0.417,1997-98
638,Stephon Marbury,MIN,21.0,187.96,81.64656,Georgia Tech,USA,1996,1,4,82,17.7,2.8,8.6,0.9,0.021,0.062,0.241,0.505,0.359,1997-98
852,Jason Kidd,PHX,25.0,193.04,96.161504,California,USA,1994,1,2,82,11.6,6.2,9.1,5.1,0.0409999999999999,0.149,0.176,0.502,0.356,1997-98
1040,Terrell Brandon,MIN,29.0,180.34,78.471416,Oregon,USA,1991,1,11,36,13.9,3.7,8.6,1.3,0.024,0.109,0.2289999999999999,0.4629999999999999,0.411,1998-99
1047,Stephon Marbury,NJN,22.0,187.96,81.64656,Georgia Tech,USA,1996,1,4,49,21.3,2.9,8.9,2.4,0.02,0.067,0.271,0.519,0.411,1998-99
1132,Rod Strickland,WAS,32.0,190.5,83.91452,DePaul,USA,1988,1,19,44,15.7,4.8,9.9,-1.5,0.039,0.1119999999999999,0.236,0.488,0.4379999999999999,1998-99
1207,Gary Payton,SEA,30.0,193.04,81.64656,Oregon State,USA,1990,1,2,50,21.7,4.9,8.7,-0.1,0.035,0.108,0.2689999999999999,0.519,0.3979999999999999,1998-99
1311,Jason Kidd,PHX,26.0,193.04,96.161504,California,USA,1994,1,2,50,16.9,6.8,10.8,6.5,0.048,0.146,0.213,0.527,0.431,1998-99
1380,Jason Kidd,PHX,27.0,193.04,96.161504,California,USA,1994,1,2,67,14.3,7.2,10.1,5.8,0.0409999999999999,0.1639999999999999,0.1989999999999999,0.498,0.395,1999-00
1402,Gary Payton,SEA,31.0,193.04,81.64656,Oregon State,USA,1990,1,2,82,24.2,6.5,8.9,2.9,0.032,0.139,0.268,0.535,0.368,1999-00
1562,Stephon Marbury,NJN,23.0,187.96,81.64656,Georgia Tech,USA,1996,1,4,74,22.2,3.2,8.4,0.0,0.022,0.071,0.2769999999999999,0.528,0.38,1999-00
1565,Sam Cassell,MIL,30.0,190.5,83.91452,Florida State,USA,1993,1,24,81,18.6,3.7,9.0,2.4,0.0279999999999999,0.091,0.247,0.551,0.3989999999999999,1999-00
1622,Terrell Brandon,MIN,30.0,180.34,78.471416,Oregon,USA,1991,1,11,71,17.1,3.4,8.9,6.9,0.02,0.088,0.2289999999999999,0.535,0.375,1999-00
1677,John Stockton,UTA,38.0,185.42,79.3786,Gonzaga,USA,1984,1,16,82,12.1,2.6,8.6,10.0,0.024,0.084,0.192,0.591,0.456,1999-00
1706,Nick Van Exel,DEN,28.0,185.42,86.18248,Cincinnati,USA,1993,2,37,79,16.1,3.9,9.0,-0.9,0.012,0.103,0.2269999999999999,0.483,0.38,1999-00
